objectid,election_name,election_date,ward,total_votes,registered_voters_as_of,registered_voters,turnout
704,2018 General,2018/11/06,37,4256,2018/11/06,10552,0.403
705,2018 General,2018/11/06,38,7742,2018/11/06,13444,0.576
706,2018 General,2018/11/06,39,13772,2018/11/06,25864,0.532
707,2018 General,2018/11/06,40,14993,2018/11/06,29287,0.512
708,2018 General,2018/11/06,41,5689,2018/11/06,13067,0.435
709,2018 General,2018/11/06,42,7421,2018/11/06,17311,0.429
710,2018 General,2018/11/06,43,5422,2018/11/06,14375,0.377
711,2018 General,2018/11/06,44,5003,2018/11/06,9970,0.502
712,2018 General,2018/11/06,45,6506,2018/11/06,14709,0.442
713,2018 General,2018/11/06,46,10118,2018/11/06,16742,0.604
714,2018 General,2018/11/06,47,3362,2018/11/06,7534,0.446
715,2018 General,2018/11/06,48,6736,2018/11/06,13049,0.516
716,2018 General,2018/11/06,49,8711,2018/11/06,16926,0.515
717,2018 General,2018/11/06,50,13191,2018/11/06,19589,0.673
718,2018 General,2018/11/06,51,8132,2018/11/06,15306,0.531
719,2018 General,2018/11/06,52,10726,2018/11/06,18012,0.595
720,2018 General,2018/11/06,53,6835,2018/11/06,13096,0.522
721,2018 General,2018/11/06,54,4406,2018/11/06,10025,0.44
722,2018 General,2018/11/06,55,7249,2018/11/06,15149,0.479
723,2018 General,2018/11/06,56,11384,2018/11/06,22457,0.507
724,2018 General,2018/11/06,57,9214,2018/11/06,16947,0.544
725,2018 General,2018/11/06,58,15973,2018/11/06,28765,0.555
726,2018 General,2018/11/06,59,8784,2018/11/06,15576,0.564
727,2018 General,2018/11/06,60,7330,2018/11/06,13606,0.539
728,2018 General,2018/11/06,61,9915,2018/11/06,18032,0.55
729,2018 General,2018/11/06,62,7193,2018/11/06,16376,0.439
730,2018 General,2018/11/06,63,9665,2018/11/06,15424,0.627
731,2018 General,2018/11/06,64,4938,2018/11/06,9790,0.504
732,2018 General,2018/11/06,65,7589,2018/11/06,14354,0.529
733,2018 General,2018/11/06,66,15670,2018/11/06,27441,0.571
734,2018 Primary,2018/05/15,01,3713,2018/05/15,12508,0.297
735,2018 Primary,2018/05/15,02,5044,2018/05/15,19347,0.261
736,2018 Primary,2018/05/15,03,2289,2018/05/15,13406,0.171
737,2018 Primary,2018/05/15,04,2020,2018/05/15,13761,0.147
738,2018 Primary,2018/05/15,05,5977,2018/05/15,34299,0.174
739,2018 Primary,2018/05/15,06,1571,2018/05/15,9831,0.16
740,2018 Primary,2018/05/15,07,666,2018/05/15,14009,0.048
741,2018 Primary,2018/05/15,08,6191,2018/05/15,31168,0.199
742,2018 Primary,2018/05/15,09,4434,2018/05/15,12412,0.357
743,2018 Primary,2018/05/15,10,4028,2018/05/15,17459,0.231
744,2018 Primary,2018/05/15,11,1452,2018/05/15,9937,0.146
745,2018 Primary,2018/05/15,12,2624,2018/05/15,15502,0.169
746,2018 Primary,2018/05/15,13,2253,2018/05/15,14150,0.159
747,2018 Primary,2018/05/15,14,1188,2018/05/15,6010,0.198
748,2018 Primary,2018/05/15,15,3811,2018/05/15,13982,0.273
749,2018 Primary,2018/05/15,16,1081,2018/05/15,8540,0.127
750,2018 Primary,2018/05/15,17,2864,2018/05/15,16241,0.176
751,2018 Primary,2018/05/15,18,2418,2018/05/15,12534,0.193
752,2018 Primary,2018/05/15,19,1001,2018/05/15,9910,0.101
753,2018 Primary,2018/05/15,20,858,2018/05/15,8192,0.105
754,2018 Primary,2018/05/15,21,5675,2018/05/15,32313,0.176
755,2018 Primary,2018/05/15,22,5781,2018/05/15,17380,0.333
756,2018 Primary,2018/05/15,23,1663,2018/05/15,14712,0.113
757,2018 Primary,2018/05/15,24,1531,2018/05/15,11622,0.132
758,2018 Primary,2018/05/15,25,1371,2018/05/15,12548,0.109
759,2018 Primary,2018/05/15,26,2613,2018/05/15,12611,0.207
760,2018 Primary,2018/05/15,27,1783,2018/05/15,20605,0.087
761,2018 Primary,2018/05/15,28,1091,2018/05/15,8582,0.127
762,2018 Primary,2018/05/15,29,1363,2018/05/15,7710,0.177
763,2018 Primary,2018/05/15,30,3125,2018/05/15,14294,0.219
764,2018 Primary,2018/05/15,31,2330,2018/05/15,11308,0.206
765,2018 Primary,2018/05/15,32,1753,2018/05/15,14858,0.118
766,2018 Primary,2018/05/15,33,675,2018/05/15,14027,0.048
767,2018 Primary,2018/05/15,34,4669,2018/05/15,25607,0.182
768,2018 Primary,2018/05/15,35,1980,2018/05/15,18541,0.107
769,2018 Primary,2018/05/15,36,4037,2018/05/15,21803,0.185
770,2018 Primary,2018/05/15,37,1277,2018/05/15,10380,0.123
771,2018 Primary,2018/05/15,38,2383,2018/05/15,13087,0.182
772,2018 Primary,2018/05/15,39,6781,2018/05/15,25250,0.269
773,2018 Primary,2018/05/15,40,4312,2018/05/15,28704,0.15
774,2018 Primary,2018/05/15,41,1226,2018/05/15,12823,0.096
775,2018 Primary,2018/05/15,42,1490,2018/05/15,17032,0.087
776,2018 Primary,2018/05/15,43,1317,2018/05/15,14268,0.092
777,2018 Primary,2018/05/15,44,1405,2018/05/15,9821,0.143
778,2018 Primary,2018/05/15,45,1890,2018/05/15,14333,0.132
779,2018 Primary,2018/05/15,46,4024,2018/05/15,16050,0.251
780,2018 Primary,2018/05/15,47,806,2018/05/15,7123,0.113
781,2018 Primary,2018/05/15,48,1768,2018/05/15,12734,0.139
782,2018 Primary,2018/05/15,49,2404,2018/05/15,16719,0.144
783,2018 Primary,2018/05/15,50,6133,2018/05/15,19409,0.316
784,2018 Primary,2018/05/15,51,2538,2018/05/15,14993,0.169
785,2018 Primary,2018/05/15,52,3972,2018/05/15,17681,0.225
786,2018 Primary,2018/05/15,53,1499,2018/05/15,12841,0.117
787,2018 Primary,2018/05/15,54,705,2018/05/15,9827,0.072
788,2018 Primary,2018/05/15,55,2187,2018/05/15,15018,0.146
789,2018 Primary,2018/05/15,56,2804,2018/05/15,22214,0.126
790,2018 Primary,2018/05/15,57,2416,2018/05/15,16682,0.145
791,2018 Primary,2018/05/15,58,4421,2018/05/15,28395,0.156
792,2018 Primary,2018/05/15,59,2992,2018/05/15,15232,0.196
793,2018 Primary,2018/05/15,60,2266,2018/05/15,13112,0.173
794,2018 Primary,2018/05/15,61,2525,2018/05/15,17752,0.142
795,2018 Primary,2018/05/15,62,1252,2018/05/15,16005,0.078
796,2018 Primary,2018/05/15,63,2849,2018/05/15,15240,0.187
797,2018 Primary,2018/05/15,64,1609,2018/05/15,9761,0.165
798,2018 Primary,2018/05/15,65,2142,2018/05/15,14116,0.152
799,2018 Primary,2018/05/15,66,4518,2018/05/15,27099,0.167
800,2017 General,2017/11/07,01,3721,2017/11/07,12318,0.302
801,2017 General,2017/11/07,02,5938,2017/11/07,19258,0.308
802,2017 General,2017/11/07,03,2770,2017/11/07,13448,0.206
803,2017 General,2017/11/07,04,2540,2017/11/07,13770,0.184
804,2017 General,2017/11/07,05,7810,2017/11/07,33678,0.232
805,2017 General,2017/11/07,06,1911,2017/11/07,9814,0.195
806,2017 General,2017/11/07,07,621,2017/11/07,14012,0.044
807,2017 General,2017/11/07,08,8142,2017/11/07,30815,0.264
808,2017 General,2017/11/07,09,5200,2017/11/07,12273,0.424
809,2017 General,2017/11/07,10,4399,2017/11/07,17445,0.252
810,2017 General,2017/11/07,11,1619,2017/11/07,9956,0.163
811,2017 General,2017/11/07,12,3033,2017/11/07,15466,0.196
812,2017 General,2017/11/07,13,2675,2017/11/07,14178,0.189
813,2017 General,2017/11/07,14,1224,2017/11/07,5983,0.205
814,2017 General,2017/11/07,15,4546,2017/11/07,13839,0.328
815,2017 General,2017/11/07,16,1200,2017/11/07,8580,0.14
816,2017 General,2017/11/07,17,3406,2017/11/07,16271,0.209
817,2017 General,2017/11/07,18,2988,2017/11/07,12340,0.242
818,2017 General,2017/11/07,19,662,2017/11/07,9909,0.067
819,2017 General,2017/11/07,20,1039,2017/11/07,8360,0.124
820,2017 General,2017/11/07,21,8268,2017/11/07,31959,0.259
821,2017 General,2017/11/07,22,6158,2017/11/07,17249,0.357
822,2017 General,2017/11/07,23,1786,2017/11/07,14630,0.122
823,2017 General,2017/11/07,24,1849,2017/11/07,11579,0.16
824,2017 General,2017/11/07,25,1558,2017/11/07,12449,0.125
825,2017 General,2017/11/07,26,2669,2017/11/07,12491,0.214
826,2017 General,2017/11/07,27,2935,2017/11/07,20593,0.143
827,2017 General,2017/11/07,28,1310,2017/11/07,8592,0.152
828,2017 General,2017/11/07,29,1717,2017/11/07,7642,0.225
829,2017 General,2017/11/07,30,4032,2017/11/07,14195,0.284
830,2017 General,2017/11/07,31,2920,2017/11/07,11120,0.263
831,2017 General,2017/11/07,32,2197,2017/11/07,15007,0.146
832,2017 General,2017/11/07,33,824,2017/11/07,13978,0.059
833,2017 General,2017/11/07,34,5918,2017/11/07,25521,0.232
834,2017 General,2017/11/07,35,2748,2017/11/07,18417,0.149
835,2017 General,2017/11/07,36,4768,2017/11/07,21590,0.221
836,2017 General,2017/11/07,37,1270,2017/11/07,10388,0.122
837,2017 General,2017/11/07,38,3068,2017/11/07,13047,0.235
838,2017 General,2017/11/07,39,5770,2017/11/07,25065,0.23
839,2017 General,2017/11/07,40,4566,2017/11/07,28547,0.16
840,2017 General,2017/11/07,41,1669,2017/11/07,12730,0.131
841,2017 General,2017/11/07,42,1612,2017/11/07,17031,0.095
842,2017 General,2017/11/07,43,1236,2017/11/07,14329,0.086
843,2017 General,2017/11/07,44,1625,2017/11/07,9769,0.166
844,2017 General,2017/11/07,45,2085,2017/11/07,14225,0.147
845,2017 General,2017/11/07,46,4945,2017/11/07,15885,0.311
846,2017 General,2017/11/07,47,908,2017/11/07,7201,0.126
847,2017 General,2017/11/07,48,2202,2017/11/07,12675,0.174
848,2017 General,2017/11/07,49,2911,2017/11/07,16708,0.174
849,2017 General,2017/11/07,50,5960,2017/11/07,19376,0.308
850,2017 General,2017/11/07,51,3000,2017/11/07,14977,0.2
851,2017 General,2017/11/07,52,4713,2017/11/07,17670,0.267
852,2017 General,2017/11/07,53,1896,2017/11/07,12790,0.148
853,2017 General,2017/11/07,54,1041,2017/11/07,9864,0.106
854,2017 General,2017/11/07,55,2488,2017/11/07,15120,0.165
855,2017 General,2017/11/07,56,3902,2017/11/07,22245,0.175
856,2017 General,2017/11/07,57,3480,2017/11/07,16709,0.208
857,2017 General,2017/11/07,58,6102,2017/11/07,28399,0.215
858,2017 General,2017/11/07,59,3472,2017/11/07,15265,0.227
859,2017 General,2017/11/07,60,2836,2017/11/07,13038,0.218
860,2017 General,2017/11/07,61,3121,2017/11/07,17670,0.177
861,2017 General,2017/11/07,62,1717,2017/11/07,15944,0.108
862,2017 General,2017/11/07,63,4407,2017/11/07,15177,0.29
863,2017 General,2017/11/07,64,2011,2017/11/07,9814,0.205
864,2017 General,2017/11/07,65,3080,2017/11/07,14003,0.22
865,2017 General,2017/11/07,66,6644,2017/11/07,26987,0.246
866,2017 Primary,2017/05/16,01,3384,2017/05/16,12291,0.275
867,2017 Primary,2017/05/16,02,5438,2017/05/16,19196,0.283
868,2017 Primary,2017/05/16,03,2527,2017/05/16,13509,0.187
869,2017 Primary,2017/05/16,04,2306,2017/05/16,13868,0.166
870,2017 Primary,2017/05/16,05,6617,2017/05/16,33476,0.198
871,2017 Primary,2017/05/16,06,1769,2017/05/16,9894,0.179
872,2017 Primary,2017/05/16,07,712,2017/05/16,14132,0.05
873,2017 Primary,2017/05/16,08,6846,2017/05/16,30677,0.223
874,2017 Primary,2017/05/16,09,4626,2017/05/16,12297,0.376
875,2017 Primary,2017/05/16,10,3992,2017/05/16,17535,0.228
876,2017 Primary,2017/05/16,11,1609,2017/05/16,10034,0.16
877,2017 Primary,2017/05/16,12,2832,2017/05/16,15429,0.184
878,2017 Primary,2017/05/16,13,2532,2017/05/16,14181,0.179
879,2017 Primary,2017/05/16,14,1091,2017/05/16,5967,0.183
880,2017 Primary,2017/05/16,15,4108,2017/05/16,13812,0.297
881,2017 Primary,2017/05/16,16,1165,2017/05/16,8634,0.135
882,2017 Primary,2017/05/16,17,3154,2017/05/16,16343,0.193
883,2017 Primary,2017/05/16,18,2635,2017/05/16,12274,0.215
884,2017 Primary,2017/05/16,19,722,2017/05/16,9947,0.073
885,2017 Primary,2017/05/16,20,805,2017/05/16,8365,0.096
886,2017 Primary,2017/05/16,21,6372,2017/05/16,31999,0.199
887,2017 Primary,2017/05/16,22,5836,2017/05/16,17279,0.338
888,2017 Primary,2017/05/16,23,1543,2017/05/16,14708,0.105
889,2017 Primary,2017/05/16,24,1614,2017/05/16,11662,0.138
890,2017 Primary,2017/05/16,25,1108,2017/05/16,12413,0.089
891,2017 Primary,2017/05/16,26,2286,2017/05/16,12493,0.183
892,2017 Primary,2017/05/16,27,2208,2017/05/16,20532,0.108
893,2017 Primary,2017/05/16,28,1310,2017/05/16,8656,0.151
894,2017 Primary,2017/05/16,29,1509,2017/05/16,7604,0.198
895,2017 Primary,2017/05/16,30,3692,2017/05/16,14301,0.258
896,2017 Primary,2017/05/16,31,2454,2017/05/16,11058,0.222
897,2017 Primary,2017/05/16,32,1960,2017/05/16,15136,0.129
898,2017 Primary,2017/05/16,33,682,2017/05/16,14092,0.048
899,2017 Primary,2017/05/16,34,5375,2017/05/16,25536,0.21
900,2017 Primary,2017/05/16,35,2176,2017/05/16,18503,0.118
901,2017 Primary,2017/05/16,36,4350,2017/05/16,21496,0.202
902,2017 Primary,2017/05/16,37,1119,2017/05/16,10493,0.107
903,2017 Primary,2017/05/16,38,2780,2017/05/16,13059,0.213
904,2017 Primary,2017/05/16,39,5244,2017/05/16,25090,0.209
905,2017 Primary,2017/05/16,40,4030,2017/05/16,28556,0.141
906,2017 Primary,2017/05/16,41,1250,2017/05/16,12733,0.098
907,2017 Primary,2017/05/16,42,1478,2017/05/16,17205,0.086
908,2017 Primary,2017/05/16,43,1275,2017/05/16,14427,0.088
909,2017 Primary,2017/05/16,44,1580,2017/05/16,9842,0.161
910,2017 Primary,2017/05/16,45,1380,2017/05/16,14277,0.097
911,2017 Primary,2017/05/16,46,4840,2017/05/16,15920,0.304
912,2017 Primary,2017/05/16,47,854,2017/05/16,7279,0.117
913,2017 Primary,2017/05/16,48,1860,2017/05/16,12738,0.146
914,2017 Primary,2017/05/16,49,2589,2017/05/16,16752,0.155
915,2017 Primary,2017/05/16,50,5356,2017/05/16,19363,0.277
916,2017 Primary,2017/05/16,51,2642,2017/05/16,15093,0.175
917,2017 Primary,2017/05/16,52,4108,2017/05/16,17766,0.231
918,2017 Primary,2017/05/16,53,1574,2017/05/16,12785,0.123
919,2017 Primary,2017/05/16,54,828,2017/05/16,9953,0.083
920,2017 Primary,2017/05/16,55,1840,2017/05/16,15392,0.12
921,2017 Primary,2017/05/16,56,3071,2017/05/16,22354,0.137
922,2017 Primary,2017/05/16,57,2320,2017/05/16,16813,0.138
923,2017 Primary,2017/05/16,58,3719,2017/05/16,28573,0.13
924,2017 Primary,2017/05/16,59,3271,2017/05/16,15356,0.213
925,2017 Primary,2017/05/16,60,2540,2017/05/16,13016,0.195
926,2017 Primary,2017/05/16,61,2765,2017/05/16,17748,0.156
927,2017 Primary,2017/05/16,62,1365,2017/05/16,16057,0.085
928,2017 Primary,2017/05/16,63,2824,2017/05/16,15226,0.185
929,2017 Primary,2017/05/16,64,1212,2017/05/16,9906,0.122
930,2017 Primary,2017/05/16,65,2176,2017/05/16,14033,0.155
931,2017 Primary,2017/05/16,66,3914,2017/05/16,27026,0.145
